Busca;Posição;Valor_Pesquisado;Tempo_Resposta
Busca_Sequencial; 63; 321; 0.003000
Busca_Sequencial_Ordenado; 63; 321; 0.002000
Busca_Binaria; 63; 321; 0.002000
Jump_Search; 63; 321; 0.002000
Busca_Sequencial; -1; 593; 0.008000
Busca_Sequencial_Ordenado; -1; 593; 0.003000
Busca_Binaria; -1; 593; 0.001000
Jump_Search; -1; 593; 0.001000
Busca_Sequencial; -1; 218; 0.007000
Busca_Sequencial_Ordenado; -1; 218; 0.002000
Busca_Binaria; -1; 218; 0.001000
Jump_Search; -1; 218; 0.002000
Busca_Sequencial; -1; 539; 0.007000
Busca_Sequencial_Ordenado; -1; 539; 0.002000
Busca_Binaria; -1; 539; 0.002000
Jump_Search; -1; 539; 0.002000
Busca_Sequencial; -1; 1494; 0.011000
Busca_Sequencial_Ordenado; -1; 1494; 0.003000
Busca_Binaria; -1; 1494; 0.001000
Jump_Search; -1; 1494; 0.002000
Busca_Sequencial; -1; 1910; 0.007000
Busca_Sequencial_Ordenado; -1; 1910; 0.004000
Busca_Binaria; -1; 1910; 0.002000
Jump_Search; -1; 1910; 0.002000
Busca_Sequencial; -1; 230; 0.007000
Busca_Sequencial_Ordenado; -1; 230; 0.001000
Busca_Binaria; -1; 230; 0.002000
Jump_Search; -1; 230; 0.002000
Busca_Sequencial; -1; 67; 0.008000
Busca_Sequencial_Ordenado; -1; 67; 0.001000
Busca_Binaria; -1; 67; 0.001000
Jump_Search; -1; 67; 0.002000
Busca_Sequencial; -1; 1328; 0.009000
Busca_Sequencial_Ordenado; -1; 1328; 0.003000
Busca_Binaria; -1; 1328; 0.002000
Jump_Search; -1; 1328; 0.002000
Busca_Sequencial; 4; 22; 0.001000
Busca_Sequencial_Ordenado; 4; 22; 0.002000
Busca_Binaria; 4; 22; 0.002000
Jump_Search; 4; 22; 0.002000
Busca_Sequencial; -1; 1056; 0.007000
Busca_Sequencial_Ordenado; -1; 1056; 0.002000
Busca_Binaria; -1; 1056; 0.001000
Jump_Search; -1; 1056; 0.002000
Busca_Sequencial; -1; 1104; 0.008000
Busca_Sequencial_Ordenado; -1; 1104; 0.003000
Busca_Binaria; -1; 1104; 0.001000
Jump_Search; -1; 1104; 0.002000
Busca_Sequencial; -1; 1730; 0.007000
Busca_Sequencial_Ordenado; -1; 1730; 0.004000
Busca_Binaria; -1; 1730; 0.002000
Jump_Search; -1; 1730; 0.002000
Busca_Sequencial; -1; 958; 0.008000
Busca_Sequencial_Ordenado; -1; 958; 0.004000
Busca_Binaria; -1; 958; 0.001000
Jump_Search; -1; 958; 0.002000
Busca_Sequencial; -1; 1835; 0.007000
Busca_Sequencial_Ordenado; -1; 1835; 0.004000
Busca_Binaria; -1; 1835; 0.002000
Jump_Search; -1; 1835; 0.001000
Busca_Sequencial; 44; 226; 0.002000
Busca_Sequencial_Ordenado; 44; 226; 0.002000
Busca_Binaria; 44; 226; 0.001000
Jump_Search; 44; 226; 0.002000
Busca_Sequencial; -1; 86; 0.007000
Busca_Sequencial_Ordenado; -1; 86; 0.001000
Busca_Binaria; -1; 86; 0.001000
Jump_Search; -1; 86; 0.002000
Busca_Sequencial; -1; 1627; 0.008000
Busca_Sequencial_Ordenado; -1; 1627; 0.003000
Busca_Binaria; -1; 1627; 0.002000
Jump_Search; -1; 1627; 0.002000
Busca_Sequencial; 102; 503; 0.001000
Busca_Sequencial_Ordenado; 102; 503; 0.002000
Busca_Binaria; 102; 503; 0.001000
Jump_Search; 102; 503; 0.002000
Busca_Sequencial; 243; 1171; 0.003000
Busca_Sequencial_Ordenado; 243; 1171; 0.003000
