Busca;Posicao;Valor_Pesquisado;Tempo_Resposta;Tempo_Ordenar_Vetor;Tempo_Total_Busca
Sequencial; 3522; 661; 0.024000; 0; 0.024000
Ordenado; 335; 661; 0.004000; 105.096000; 105.100000
Jump; 335; 661; 0.003000; 105.096000; 105.099000
Binaria; 335; 661; 0.002000; 105.096000; 105.098000
Sequencial; -1; 942; 0.027000; 0; 0.027000
Ordenado; -1; 942; 0.005000; 105.096000; 105.101000
Jump; -1; 942; 0.002000; 105.096000; 105.098000
Binaria; -1; 942; 0.002000; 105.096000; 105.098000
Sequencial; 803; 2109; 0.007000; 0; 0.007000
Ordenado; 1095; 2109; 0.010000; 105.096000; 105.106000
Jump; 1095; 2109; 0.002000; 105.096000; 105.098000
Binaria; 1095; 2109; 0.002000; 105.096000; 105.098000
Sequencial; 2185; 1441; 0.015000; 0; 0.015000
Ordenado; 762; 1441; 0.006000; 105.096000; 105.102000
Jump; 762; 1441; 0.002000; 105.096000; 105.098000
Binaria; 762; 1441; 0.001000; 105.096000; 105.097000
Sequencial; -1; 169; 0.026000; 0; 0.026000
Ordenado; -1; 169; 0.002000; 105.096000; 105.098000
Jump; -1; 169; 0.002000; 105.096000; 105.098000
Binaria; -1; 169; 0.001000; 105.096000; 105.097000
Sequencial; -1; 2961; 0.026000; 0; 0.026000
Ordenado; -1; 2961; 0.012000; 105.096000; 105.108000
Jump; -1; 2961; 0.002000; 105.096000; 105.098000
Binaria; -1; 2961; 0.001000; 105.096000; 105.097000
Sequencial; -1; 1503; 0.027000; 0; 0.027000
Ordenado; -1; 1503; 0.007000; 105.096000; 105.103000
Jump; -1; 1503; 0.002000; 105.096000; 105.098000
Binaria; -1; 1503; 0.001000; 105.096000; 105.097000
Sequencial; -1; 1873; 0.027000; 0; 0.027000
Ordenado; -1; 1873; 0.008000; 105.096000; 105.104000
Jump; -1; 1873; 0.002000; 105.096000; 105.098000
Binaria; -1; 1873; 0.002000; 105.096000; 105.098000
Sequencial; 3296; 1077; 0.021000; 0; 0.021000
Ordenado; 583; 1077; 0.005000; 105.096000; 105.101000
Jump; 583; 1077; 0.002000; 105.096000; 105.098000
Binaria; 583; 1077; 0.002000; 105.096000; 105.098000
Sequencial; -1; 3476; 0.026000; 0; 0.026000
Ordenado; -1; 3476; 0.014000; 105.096000; 105.110000
Jump; -1; 3476; 0.002000; 105.096000; 105.098000
Binaria; -1; 3476; 0.002000; 105.096000; 105.098000
Sequencial; -1; 1108; 0.026000; 0; 0.026000
Ordenado; -1; 1108; 0.005000; 105.096000; 105.101000
Jump; -1; 1108; 0.002000; 105.096000; 105.098000
Binaria; -1; 1108; 0.002000; 105.096000; 105.098000
Sequencial; -1; 1112; 0.026000; 0; 0.026000
Ordenado; -1; 1112; 0.005000; 105.096000; 105.101000
Jump; -1; 1112; 0.002000; 105.096000; 105.098000
Binaria; -1; 1112; 0.001000; 105.096000; 105.097000
Sequencial; 801; 72; 0.006000; 0; 0.006000
Ordenado; 53; 72; 0.002000; 105.096000; 105.098000
Jump; 53; 72; 0.002000; 105.096000; 105.098000
Binaria; 53; 72; 0.002000; 105.096000; 105.098000
Sequencial; -1; 662; 0.026000; 0; 0.026000
Ordenado; -1; 662; 0.004000; 105.096000; 105.100000
Jump; -1; 662; 0.002000; 105.096000; 105.098000
Binaria; -1; 662; 0.001000; 105.096000; 105.097000
Sequencial; -1; 1180; 0.026000; 0; 0.026000
Ordenado; -1; 1180; 0.005000; 105.096000; 105.101000
Jump; -1; 1180; 0.002000; 105.096000; 105.098000
Binaria; -1; 1180; 0.002000; 105.096000; 105.098000
Sequencial; 809; 940; 0.006000; 0; 0.006000
Ordenado; 500; 940; 0.005000; 105.096000; 105.101000
Jump; 500; 940; 0.002000; 105.096000; 105.098000
Binaria; 500; 940; 0.001000; 105.096000; 105.097000
Sequencial; 2313; 83; 0.015000; 0; 0.015000
Ordenado; 60; 83; 0.001000; 105.096000; 105.097000
Jump; 60; 83; 0.001000; 105.096000; 105.097000
Binaria; 60; 83; 0.002000; 105.096000; 105.098000
Sequencial; 2371; 2143; 0.016000; 0; 0.016000
Ordenado; 1109; 2143; 0.009000; 105.096000; 105.105000
Jump; 1109; 2143; 0.003000; 105.096000; 105.099000
Binaria; 1109; 2143; 0.002000; 105.096000; 105.098000
Sequencial; 2254; 1793; 0.015000; 0; 0.015000
Ordenado; 924; 1793; 0.008000; 105.096000; 105.104000
Jump; 924; 1793; 0.002000; 105.096000; 105.098000
Binaria; 924; 1793; 0.002000; 105.096000; 105.098000
Sequencial; -1; 3297; 0.026000; 0; 0.026000
Ordenado; -1; 3297; 0.013000; 105.096000; 105.109000
Jump; -1; 3297; 0.002000; 105.096000; 105.098000
Binaria; -1; 3297; 0.002000; 105.096000; 105.098000
Sequencial; -1; 2337; 0.025000; 0; 0.025000
Ordenado; -1; 2337; 0.048000; 105.096000; 105.144000
Jump; -1; 2337; 0.002000; 105.096000; 105.098000
Binaria; -1; 2337; 0.002000; 105.096000; 105.098000
Sequencial; 2383; 3529; 0.015000; 0; 0.015000
Ordenado; 1822; 3529; 0.014000; 105.096000; 105.110000
Jump; 1822; 3529; 0.002000; 105.096000; 105.098000
Binaria; 1822; 3529; 0.002000; 105.096000; 105.098000
Sequencial; 3242; 1061; 0.020000; 0; 0.020000
Ordenado; 573; 1061; 0.005000; 105.096000; 105.101000
Jump; 573; 1061; 0.002000; 105.096000; 105.098000
Binaria; 573; 1061; 0.001000; 105.096000; 105.097000
Sequencial; 2404; 1115; 0.016000; 0; 0.016000
Ordenado; 606; 1115; 0.006000; 105.096000; 105.102000
Jump; 606; 1115; 0.002000; 105.096000; 105.098000
Binaria; 606; 1115; 0.002000; 105.096000; 105.098000
Sequencial; 3557; 2838; 0.022000; 0; 0.022000
Ordenado; 1452; 2838; 0.011000; 105.096000; 105.107000
Jump; 1452; 2838; 0.002000; 105.096000; 105.098000
Binaria; 1452; 2838; 0.002000; 105.096000; 105.098000
Sequencial; -1; 2252; 0.025000; 0; 0.025000
Ordenado; -1; 2252; 0.010000; 105.096000; 105.106000
Jump; -1; 2252; 0.002000; 105.096000; 105.098000
Binaria; -1; 2252; 0.002000; 105.096000; 105.098000
Sequencial; -1; 1966; 0.025000; 0; 0.025000
Ordenado; -1; 1966; 0.008000; 105.096000; 105.104000
Jump; -1; 1966; 0.002000; 105.096000; 105.098000
Binaria; -1; 1966; 0.002000; 105.096000; 105.098000
Sequencial; -1; 1287; 0.025000; 0; 0.025000
Ordenado; -1; 1287; 0.006000; 105.096000; 105.102000
Jump; -1; 1287; 0.002000; 105.096000; 105.098000
Binaria; -1; 1287; 0.002000; 105.096000; 105.098000
Sequencial; -1; 3689; 0.025000; 0; 0.025000
Ordenado; -1; 3689; 0.014000; 105.096000; 105.110000
