Busca;Posicao;Valor_Pesquisado;Tempo_Resposta;Tempo_Ordenar_Vetor;Tempo_Total_Busca
Sequencial; -1; 21864; 1.559000; 0; 1.559000
Ordenado; -1; 21864; 0.015000; 429792.523000; 429792.538000
Jump; -1; 21864; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 21864; 0.003000; 429792.523000; 429792.526000
Sequencial; -1; 8068; 1.583000; 0; 1.583000
Ordenado; -1; 8068; 0.006000; 429792.523000; 429792.529000
Jump; -1; 8068; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 8068; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 969; 1.579000; 0; 1.579000
Ordenado; -1; 969; 0.002000; 429792.523000; 429792.525000
Jump; -1; 969; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 969; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 25567; 1.574000; 0; 1.574000
Ordenado; -1; 25567; 0.017000; 429792.523000; 429792.540000
Jump; -1; 25567; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 25567; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 13514; 1.594000; 0; 1.594000
Ordenado; -1; 13514; 0.010000; 429792.523000; 429792.533000
Jump; -1; 13514; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 13514; 0.003000; 429792.523000; 429792.526000
Sequencial; -1; 2667; 1.582000; 0; 1.582000
Ordenado; -1; 2667; 0.003000; 429792.523000; 429792.526000
Jump; -1; 2667; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 2667; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 3882; 1.569000; 0; 1.569000
Ordenado; -1; 3882; 0.003000; 429792.523000; 429792.526000
Jump; -1; 3882; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 3882; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 27206; 1.581000; 0; 1.581000
Ordenado; -1; 27206; 0.018000; 429792.523000; 429792.541000
Jump; -1; 27206; 0.003000; 429792.523000; 429792.526000
Binaria; -1; 27206; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 16431; 1.618000; 0; 1.618000
Ordenado; -1; 16431; 0.013000; 429792.523000; 429792.536000
Jump; -1; 16431; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 16431; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 5825; 1.605000; 0; 1.605000
Ordenado; -1; 5825; 0.006000; 429792.523000; 429792.529000
Jump; -1; 5825; 0.001000; 429792.523000; 429792.524000
Binaria; -1; 5825; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 21848; 1.573000; 0; 1.573000
Ordenado; -1; 21848; 0.015000; 429792.523000; 429792.538000
Jump; -1; 21848; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 21848; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 20526; 1.581000; 0; 1.581000
Ordenado; -1; 20526; 0.015000; 429792.523000; 429792.538000
Jump; -1; 20526; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 20526; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 17394; 1.580000; 0; 1.580000
Ordenado; -1; 17394; 0.013000; 429792.523000; 429792.536000
Jump; -1; 17394; 0.001000; 429792.523000; 429792.524000
Binaria; -1; 17394; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 29275; 1.577000; 0; 1.577000
Ordenado; -1; 29275; 0.020000; 429792.523000; 429792.543000
Jump; -1; 29275; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 29275; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 23550; 1.601000; 0; 1.601000
Ordenado; -1; 23550; 0.016000; 429792.523000; 429792.539000
Jump; -1; 23550; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 23550; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 9824; 1.578000; 0; 1.578000
Ordenado; -1; 9824; 0.008000; 429792.523000; 429792.531000
Jump; -1; 9824; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 9824; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 1885; 1.579000; 0; 1.579000
Ordenado; -1; 1885; 0.003000; 429792.523000; 429792.526000
Jump; -1; 1885; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 1885; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 19252; 1.586000; 0; 1.586000
Ordenado; -1; 19252; 0.013000; 429792.523000; 429792.536000
Jump; -1; 19252; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 19252; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 3121; 1.609000; 0; 1.609000
Ordenado; -1; 3121; 0.004000; 429792.523000; 429792.527000
Jump; -1; 3121; 0.003000; 429792.523000; 429792.526000
Binaria; -1; 3121; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 17889; 1.604000; 0; 1.604000
Ordenado; -1; 17889; 0.013000; 429792.523000; 429792.536000
Jump; -1; 17889; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 17889; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 15711; 1.580000; 0; 1.580000
Ordenado; -1; 15711; 0.011000; 429792.523000; 429792.534000
Jump; -1; 15711; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 15711; 0.002000; 429792.523000; 429792.525000
Sequencial; 44013; 19966; 0.298000; 0; 0.298000
Ordenado; 1752; 19966; 0.017000; 429792.523000; 429792.540000
Jump; 1752; 19966; 0.002000; 429792.523000; 429792.525000
Binaria; 1752; 19966; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 16950; 1.575000; 0; 1.575000
Ordenado; -1; 16950; 0.012000; 429792.523000; 429792.535000
Jump; -1; 16950; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 16950; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 16463; 1.582000; 0; 1.582000
Ordenado; -1; 16463; 0.012000; 429792.523000; 429792.535000
Jump; -1; 16463; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 16463; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 23298; 1.593000; 0; 1.593000
Ordenado; -1; 23298; 0.016000; 429792.523000; 429792.539000
Jump; -1; 23298; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 23298; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 29175; 1.586000; 0; 1.586000
Ordenado; -1; 29175; 0.019000; 429792.523000; 429792.542000
Jump; -1; 29175; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 29175; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 15772; 1.579000; 0; 1.579000
Ordenado; -1; 15772; 0.011000; 429792.523000; 429792.534000
Jump; -1; 15772; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 15772; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 6699; 1.559000; 0; 1.559000
Ordenado; -1; 6699; 0.005000; 429792.523000; 429792.528000
Jump; -1; 6699; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 6699; 0.001000; 429792.523000; 429792.524000
Sequencial; -1; 27939; 1.609000; 0; 1.609000
Ordenado; -1; 27939; 0.019000; 429792.523000; 429792.542000
Jump; -1; 27939; 0.003000; 429792.523000; 429792.526000
Binaria; -1; 27939; 0.002000; 429792.523000; 429792.525000
Sequencial; 117358; 18755; 0.708000; 0; 0.708000
Ordenado; 1656; 18755; 0.013000; 429792.523000; 429792.536000
Jump; 1656; 18755; 0.002000; 429792.523000; 429792.525000
Binaria; 1656; 18755; 0.001000; 429792.523000; 429792.524000
Sequencial; -1; 20167; 1.572000; 0; 1.572000
Ordenado; -1; 20167; 0.014000; 429792.523000; 429792.537000
Jump; -1; 20167; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 20167; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 19803; 1.603000; 0; 1.603000
Ordenado; -1; 19803; 0.014000; 429792.523000; 429792.537000
Jump; -1; 19803; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 19803; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 26824; 1.606000; 0; 1.606000
Ordenado; -1; 26824; 0.019000; 429792.523000; 429792.542000
Jump; -1; 26824; 0.003000; 429792.523000; 429792.526000
Binaria; -1; 26824; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 27489; 1.569000; 0; 1.569000
Ordenado; -1; 27489; 0.018000; 429792.523000; 429792.541000
Jump; -1; 27489; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 27489; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 21722; 1.565000; 0; 1.565000
Ordenado; -1; 21722; 0.014000; 429792.523000; 429792.537000
Jump; -1; 21722; 0.002000; 429792.523000; 429792.525000
